run,ber,timelimit,repetition,Module,throughput:last
Thousand_Runs-2867-20200611-02:50:42-46335,1e-7,1000,867,Exercise6.client.pppg$o[0].channel,762137.32637059
Thousand_Runs-49-20200611-02:22:09-45335,1e-7,10,49,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2153-20200611-02:30:29-46142,1e-7,1000,153,Exercise6.client.pppg$o[0].channel,780418.90576552
Thousand_Runs-2082-20200611-02:28:50-46123,1e-7,1000,82,Exercise6.client.pppg$o[0].channel,799430.59597095
Thousand_Runs-1242-20200611-02:23:48-45910,1e-7,100,242,Exercise6.client.pppg$o[0].channel,642955.33506561
Thousand_Runs-2216-20200611-02:32:08-46158,1e-7,1000,216,Exercise6.client.pppg$o[0].channel,758613.44550924
Thousand_Runs-2119-20200611-02:29:48-46132,1e-7,1000,119,Exercise6.client.pppg$o[0].channel,754169.83174528
Thousand_Runs-2066-20200611-02:28:23-46119,1e-7,1000,66,Exercise6.client.pppg$o[0].channel,784963.85180526
Thousand_Runs-2628-20200611-02:43:37-46271,1e-7,1000,628,Exercise6.client.pppg$o[0].channel,782921.32305543
Thousand_Runs-2903-20200611-02:51:39-46348,1e-7,1000,903,Exercise6.client.pppg$o[0].channel,758574.54865385
Thousand_Runs-11-20200611-02:22:07-45325,1e-7,10,11,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1208-20200611-02:23:40-45902,1e-7,100,208,Exercise6.client.pppg$o[0].channel,651985.58580713
Thousand_Runs-1481-20200611-02:24:35-45971,1e-7,100,481,Exercise6.client.pppg$o[0].channel,732698.2353154
Thousand_Runs-72-20200611-02:22:10-45341,1e-7,10,72,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-838-20200611-02:22:49-45615,1e-7,10,838,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1226-20200611-02:23:45-45906,1e-7,100,226,Exercise6.client.pppg$o[0].channel,747431.98228765
Thousand_Runs-2392-20200611-02:37:01-46204,1e-7,1000,392,Exercise6.client.pppg$o[0].channel,756585.10857176
Thousand_Runs-2883-20200611-02:51:10-46340,1e-7,1000,883,Exercise6.client.pppg$o[0].channel,800993.09006563
Thousand_Runs-2482-20200611-02:39:53-46232,1e-7,1000,482,Exercise6.client.pppg$o[0].channel,781184.22713062
Thousand_Runs-1043-20200611-02:23:06-45673,1e-7,100,43,Exercise6.client.pppg$o[0].channel,700089.35463386
Thousand_Runs-442-20200611-02:22:29-45448,1e-7,10,442,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2651-20200611-02:44:23-46276,1e-7,1000,651,Exercise6.client.pppg$o[0].channel,745070.83285993
Thousand_Runs-257-20200611-02:22:19-45389,1e-7,10,257,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2376-20200611-02:36:35-46200,1e-7,1000,376,Exercise6.client.pppg$o[0].channel,778517.74828352
Thousand_Runs-2813-20200611-02:48:37-46319,1e-7,1000,813,Exercise6.client.pppg$o[0].channel,756287.16288625
Thousand_Runs-167-20200611-02:22:14-45364,1e-7,10,167,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-604-20200611-02:22:37-45549,1e-7,10,604,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2369-20200611-02:36:40-46198,1e-7,1000,369,Exercise6.client.pppg$o[0].channel,773127.91441521
Thousand_Runs-329-20200611-02:22:23-45407,1e-7,10,329,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-532-20200611-02:22:33-45525,1e-7,10,532,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1136-20200611-02:23:24-45793,1e-7,100,136,Exercise6.client.pppg$o[0].channel,679607.1831704
Thousand_Runs-2644-20200611-02:44:04-46275,1e-7,1000,644,Exercise6.client.pppg$o[0].channel,770135.6015697
Thousand_Runs-2538-20200611-02:41:13-46246,1e-7,1000,538,Exercise6.client.pppg$o[0].channel,766906.95104959
Thousand_Runs-370-20200611-02:22:25-45417,1e-7,10,370,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-998-20200611-02:22:57-45662,1e-7,10,998,Exercise6.client.pppg$o[0].channel,173616.91302819
Thousand_Runs-1949-20200611-02:26:12-46088,1e-7,100,949,Exercise6.client.pppg$o[0].channel,730043.019302
Thousand_Runs-1170-20200611-02:23:32-45892,1e-7,100,170,Exercise6.client.pppg$o[0].channel,768253.19972162
Thousand_Runs-2297-20200611-02:34:28-46180,1e-7,1000,297,Exercise6.client.pppg$o[0].channel,764886.46387253
Thousand_Runs-336-20200611-02:22:23-45409,1e-7,10,336,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2572-20200611-02:41:57-46255,1e-7,1000,572,Exercise6.client.pppg$o[0].channel,789670.93427716
Thousand_Runs-363-20200611-02:22:24-45415,1e-7,10,363,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2723-20200611-02:46:32-46294,1e-7,1000,723,Exercise6.client.pppg$o[0].channel,786062.19040837
Thousand_Runs-611-20200611-02:22:37-45550,1e-7,10,611,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2012-20200611-02:26:25-46104,1e-7,1000,12,Exercise6.client.pppg$o[0].channel,761596.94024017
Thousand_Runs-65-20200611-02:22:10-45339,1e-7,10,65,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1877-20200611-02:25:57-46070,1e-7,100,877,Exercise6.client.pppg$o[0].channel,688225.28528571
Thousand_Runs-2448-20200611-02:38:47-46224,1e-7,1000,448,Exercise6.client.pppg$o[0].channel,776148.86152357
Thousand_Runs-1321-20200611-02:24:03-45931,1e-7,100,321,Exercise6.client.pppg$o[0].channel,692558.338642
Thousand_Runs-1983-20200611-02:26:20-46096,1e-7,100,983,Exercise6.client.pppg$o[0].channel,674665.99332887
Thousand_Runs-771-20200611-02:22:45-45596,1e-7,10,771,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2007-20200611-02:26:44-46102,1e-7,1000,7,Exercise6.client.pppg$o[0].channel,787686.0834884
Thousand_Runs-1332-20200611-02:24:04-45934,1e-7,100,332,Exercise6.client.pppg$o[0].channel,681479.36768358
Thousand_Runs-496-20200611-02:22:31-45496,1e-7,10,496,Exercise6.client.pppg$o[0].channel,169858.51774077
Thousand_Runs-1097-20200611-02:23:18-45783,1e-7,100,97,Exercise6.client.pppg$o[0].channel,667046.01210871
Thousand_Runs-203-20200611-02:22:16-45373,1e-7,10,203,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-658-20200611-02:22:40-45564,1e-7,10,658,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2322-20200611-02:35:27-46186,1e-7,1000,322,Exercise6.client.pppg$o[0].channel,762140.265176
Thousand_Runs-1787-20200611-02:25:38-46047,1e-7,100,787,Exercise6.client.pppg$o[0].channel,683811.22395627
Thousand_Runs-2698-20200611-02:45:36-46288,1e-7,1000,698,Exercise6.client.pppg$o[0].channel,752366.38939332
Thousand_Runs-2209-20200611-02:32:12-46156,1e-7,1000,209,Exercise6.client.pppg$o[0].channel,786528.14558175
Thousand_Runs-280-20200611-02:22:20-45396,1e-7,10,280,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1411-20200611-02:24:22-45953,1e-7,100,411,Exercise6.client.pppg$o[0].channel,699753.68510272
Thousand_Runs-692-20200611-02:22:41-45574,1e-7,10,692,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-419-20200611-02:22:27-45430,1e-7,10,419,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-987-20200611-02:22:57-45659,1e-7,10,987,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2286-20200611-02:34:11-46177,1e-7,1000,286,Exercise6.client.pppg$o[0].channel,784867.81576662
Thousand_Runs-2459-20200611-02:39:08-46226,1e-7,1000,459,Exercise6.client.pppg$o[0].channel,756402.95810119
Thousand_Runs-2561-20200611-02:41:58-46252,1e-7,1000,561,Exercise6.client.pppg$o[0].channel,786594.42917697
Thousand_Runs-2734-20200611-02:46:32-46297,1e-7,1000,734,Exercise6.client.pppg$o[0].channel,778031.83860701
Thousand_Runs-1823-20200611-02:25:46-46056,1e-7,100,823,Exercise6.client.pppg$o[0].channel,709387.18484455
Thousand_Runs-1548-20200611-02:24:48-45988,1e-7,100,548,Exercise6.client.pppg$o[0].channel,719027.71565149
Thousand_Runs-2223-20200611-02:32:30-46159,1e-7,1000,223,Exercise6.client.pppg$o[0].channel,730955.54639209
Thousand_Runs-2401-20200611-02:37:33-46208,1e-7,1000,401,Exercise6.client.pppg$o[0].channel,768735.69438212
Thousand_Runs-2797-20200611-02:48:11-46315,1e-7,1000,797,Exercise6.client.pppg$o[0].channel,760196.88390432
Thousand_Runs-2093-20200611-02:28:45-46126,1e-7,1000,93,Exercise6.client.pppg$o[0].channel,786059.44469876
Thousand_Runs-588-20200611-02:22:36-45545,1e-7,10,588,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2304-20200611-02:34:48-46182,1e-7,1000,304,Exercise6.client.pppg$o[0].channel,782848.69973626
Thousand_Runs-766-20200611-02:22:45-45595,1e-7,10,766,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2975-20200611-02:53:24-46368,1e-7,1000,975,Exercise6.client.pppg$o[0].channel,809464.67399903
