run,ber,timelimit,repetition,Module,throughput:last
Hundred_Runs-68-20200611-02:16:08-44323,1e-7,10,68,Exercise6.client.pppg$o[0].channel,169858.51774077
Hundred_Runs-225-20200611-02:17:03-44552,1e-7,1000,25,Exercise6.client.pppg$o[0].channel,788774.83562067
Hundred_Runs-169-20200611-02:16:23-44347,1e-7,100,69,Exercise6.client.pppg$o[0].channel,596452.56231745
Hundred_Runs-290-20200611-02:19:11-44955,1e-7,1000,90,Exercise6.client.pppg$o[0].channel,774955.31722949
Hundred_Runs-268-20200611-02:18:24-44859,1e-7,1000,68,Exercise6.client.pppg$o[0].channel,787370.51563504
Hundred_Runs-47-20200611-02:16:07-44316,1e-7,10,47,Exercise6.client.pppg$o[0].channel,174869.71145733
Hundred_Runs-132-20200611-02:16:16-44340,1e-7,100,32,Exercise6.client.pppg$o[0].channel,758487.78586863
Hundred_Runs-21-20200611-02:16:06-44311,1e-7,10,21,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-175-20200611-02:16:24-44348,1e-7,100,75,Exercise6.client.pppg$o[0].channel,657779.38011032
Hundred_Runs-64-20200611-02:16:08-44322,1e-7,10,64,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-206-20200611-02:16:42-44453,1e-7,1000,6,Exercise6.client.pppg$o[0].channel,765376.44918974
Hundred_Runs-192-20200611-02:16:26-44449,1e-7,100,92,Exercise6.client.pppg$o[0].channel,668042.49033338
Hundred_Runs-280-20200611-02:18:53-44952,1e-7,1000,80,Exercise6.client.pppg$o[0].channel,770418.13335053
Hundred_Runs-168-20200611-02:16:22-44347,1e-7,100,68,Exercise6.client.pppg$o[0].channel,682552.30790659
Hundred_Runs-257-20200611-02:18:03-44666,1e-7,1000,57,Exercise6.client.pppg$o[0].channel,757343.07024002
Hundred_Runs-185-20200611-02:16:26-44447,1e-7,100,85,Exercise6.client.pppg$o[0].channel,676065.67715554
Hundred_Runs-274-20200611-02:18:41-44860,1e-7,1000,74,Exercise6.client.pppg$o[0].channel,786630.75749056
Hundred_Runs-231-20200611-02:17:20-44555,1e-7,1000,31,Exercise6.client.pppg$o[0].channel,771866.90639579
Hundred_Runs-158-20200611-02:16:20-44345,1e-7,100,58,Exercise6.client.pppg$o[0].channel,689553.51642813
Hundred_Runs-214-20200611-02:16:46-44455,1e-7,1000,14,Exercise6.client.pppg$o[0].channel,793418.26494614
Hundred_Runs-70-20200611-02:16:08-44323,1e-7,10,70,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-115-20200611-02:16:12-44334,1e-7,100,15,Exercise6.client.pppg$o[0].channel,634115.03781588
Hundred_Runs-181-20200611-02:16:26-44446,1e-7,100,81,Exercise6.client.pppg$o[0].channel,730411.3249359
Hundred_Runs-15-20200611-02:16:05-44306,1e-7,10,15,Exercise6.client.pppg$o[0].channel,174869.71145733
Hundred_Runs-4-20200611-02:16:05-44308,1e-7,10,4,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-121-20200611-02:16:13-44336,1e-7,100,21,Exercise6.client.pppg$o[0].channel,709085.00985865
