Q1,0.071123577,,,Condition,Group,Color
Q3,0.130871762,,,Y <= 0.15,A,Blue
IQR,0.059748184,,,Y > 0.15,B,Red
Lower Bound,-0.018498699,,,,,
Upper Bound,0.220494038,,,,,
,,,,,,
Time,E2E Delay,OUTLIER?,,Group,A,B
8.702334627,0.06,No,No,A,0.062334627,#N/A
8.742334627,0.06,No,No,A,0.062334627,#N/A
8.782334627,0.06,No,No,A,0.062334627,#N/A
8.822334627,0.06,No,No,A,0.062334627,#N/A
8.862334627,0.06,No,No,A,0.062334627,#N/A
8.902334627,0.06,No,No,A,0.062334627,#N/A
8.942334627,0.06,No,No,A,0.062334627,#N/A
8.982334627,0.06,No,No,A,0.062334627,#N/A
9.022334627,0.06,No,No,A,0.062334627,#N/A
9.062334627,0.06,No,No,A,0.062334627,#N/A
9.102334627,0.06,No,No,A,0.062334627,#N/A
9.142334627,0.06,No,No,A,0.062334627,#N/A
9.182334627,0.06,No,No,A,0.062334627,#N/A
9.224446476,0.06,No,No,A,0.064446476,#N/A
9.262334627,0.06,No,No,A,0.062334627,#N/A
9.302334627,0.06,No,No,A,0.062334627,#N/A
9.342334627,0.06,No,No,A,0.062334627,#N/A
9.382334627,0.06,No,No,A,0.062334627,#N/A
9.422334627,0.06,No,No,A,0.062334627,#N/A
9.462334627,0.06,No,No,A,0.062334627,#N/A
9.503180826,0.06,No,No,A,0.063180826,#N/A
9.542334627,0.06,No,No,A,0.062334627,#N/A
9.582334627,0.06,No,No,A,0.062334627,#N/A
9.623889057,0.06,No,No,A,0.063889057,#N/A
9.662334627,0.06,No,No,A,0.062334627,#N/A
9.702334627,0.06,No,No,A,0.062334627,#N/A
9.743616308,0.06,No,No,A,0.063616308,#N/A
9.782928838,0.06,No,No,A,0.062928838,#N/A
9.823741924,0.06,No,No,A,0.063741924,#N/A
9.863511315,0.06,No,No,A,0.063511315,#N/A
9.903988578,0.06,No,No,A,0.063988578,#N/A
9.942594194,0.06,No,No,A,0.062594194,#N/A
9.982753352,0.06,No,No,A,0.062753352,#N/A
10.02273472,0.06,No,No,A,0.062734718,#N/A
10.0638652,0.06,No,No,A,0.063865203,#N/A
10.10233463,0.06,No,No,A,0.062334627,#N/A
10.14280013,0.06,No,No,A,0.062800133,#N/A
10.18283962,0.06,No,No,A,0.062839624,#N/A
10.22346671,0.06,No,No,A,0.063466714,#N/A
10.26233463,0.06,No,No,A,0.062334627,#N/A
10.30307986,0.06,No,No,A,0.063079857,#N/A
10.34346536,0.06,No,No,A,0.063465364,#N/A
10.38233463,0.06,No,No,A,0.062334627,#N/A
10.42405662,0.06,No,No,A,0.064056623,#N/A
10.46272816,0.06,No,No,A,0.062728156,#N/A
10.50233463,0.06,No,No,A,0.062334627,#N/A
10.54233463,0.06,No,No,A,0.062334627,#N/A
10.58291294,0.06,No,No,A,0.062912935,#N/A
10.62233463,0.06,No,No,A,0.062334627,#N/A
10.66233463,0.06,No,No,A,0.062334627,#N/A
10.70233463,0.06,No,No,A,0.062334627,#N/A
10.74243251,0.06,No,No,A,0.062432512,#N/A
10.78329305,0.06,No,No,A,0.063293052,#N/A
10.82363584,0.06,No,No,A,0.063635841,#N/A
10.86560256,0.07,No,No,A,0.065602559,#N/A
10.90244336,0.06,No,No,A,0.062443363,#N/A
10.942864,0.06,No,No,A,0.062864002,#N/A
10.98405016,0.06,No,No,A,0.064050162,#N/A
11.02256663,0.06,No,No,A,0.062566631,#N/A
11.06340168,0.06,No,No,A,0.063401676,#N/A
11.10254431,0.06,No,No,A,0.062544311,#N/A
11.14352808,0.06,No,No,A,0.063528081,#N/A
11.18415287,0.06,No,No,A,0.06415287,#N/A
11.22281994,0.06,No,No,A,0.062819935,#N/A
11.26306379,0.06,No,No,A,0.063063794,#N/A
11.30337404,0.06,No,No,A,0.063374045,#N/A
11.3431259,0.06,No,No,A,0.0631259,#N/A
11.38386503,0.06,No,No,A,0.063865031,#N/A
11.42233463,0.06,No,No,A,0.062334627,#N/A
11.46233463,0.06,No,No,A,0.062334627,#N/A
11.50282058,0.06,No,No,A,0.062820577,#N/A
11.54288707,0.06,No,No,A,0.062887067,#N/A
11.58233463,0.06,No,No,A,0.062334627,#N/A
11.62233463,0.06,No,No,A,0.062334627,#N/A
11.66299881,0.06,No,No,A,0.062998807,#N/A
11.70233463,0.06,No,No,A,0.062334627,#N/A
11.74233463,0.06,No,No,A,0.062334627,#N/A
11.78233463,0.06,No,No,A,0.062334627,#N/A
11.82233463,0.06,No,No,A,0.062334627,#N/A
11.86233463,0.06,No,No,A,0.062334627,#N/A
11.90243137,0.06,No,No,A,0.062431367,#N/A
11.94233463,0.06,No,No,A,0.062334627,#N/A
11.98233463,0.06,No,No,A,0.062334627,#N/A
12.02233463,0.06,No,No,A,0.062334627,#N/A
12.06233463,0.06,No,No,A,0.062334627,#N/A
12.10233463,0.06,No,No,A,0.062334627,#N/A
12.14233463,0.06,No,No,A,0.062334627,#N/A
12.18352692,0.06,No,No,A,0.063526921,#N/A
12.22233463,0.06,No,No,A,0.062334627,#N/A
12.26233463,0.06,No,No,A,0.062334627,#N/A
12.30384195,0.06,No,No,A,0.063841947,#N/A
12.34359282,0.06,No,No,A,0.063592817,#N/A
12.38356036,0.06,No,No,A,0.063560364,#N/A
12.42297089,0.06,No,No,A,0.062970894,#N/A
12.46254449,0.06,No,No,A,0.06254449,#N/A
12.50303549,0.06,No,No,A,0.063035495,#N/A
12.54644722,0.07,No,No,A,0.066447217,#N/A
12.58317125,0.06,No,No,A,0.063171251,#N/A
12.62233463,0.06,No,No,A,0.062334627,#N/A
12.66233463,0.06,No,No,A,0.062334627,#N/A
12.70233463,0.06,No,No,A,0.062334627,#N/A
12.74233463,0.06,No,No,A,0.062334627,#N/A
12.78233463,0.06,No,No,A,0.062334627,#N/A
12.82233463,0.06,No,No,A,0.062334627,#N/A
12.86233463,0.06,No,No,A,0.062334627,#N/A
12.90233463,0.06,No,No,A,0.062334627,#N/A
12.94233463,0.06,No,No,A,0.062334627,#N/A
12.98323948,0.06,No,No,A,0.063239476,#N/A
13.02233463,0.06,No,No,A,0.062334627,#N/A
13.06233463,0.06,No,No,A,0.062334627,#N/A
13.10254995,0.06,No,No,A,0.062549955,#N/A
13.14233463,0.06,No,No,A,0.062334627,#N/A
13.18233463,0.06,No,No,A,0.062334627,#N/A
13.2231699,0.06,No,No,A,0.063169899,#N/A
13.26233463,0.06,No,No,A,0.062334627,#N/A
13.30233463,0.06,No,No,A,0.062334627,#N/A
13.34306186,0.06,No,No,A,0.063061858,#N/A
13.38233463,0.06,No,No,A,0.062334627,#N/A
13.42233463,0.06,No,No,A,0.062334627,#N/A
13.46233463,0.06,No,No,A,0.062334627,#N/A
13.50233463,0.06,No,No,A,0.062334627,#N/A
13.54233463,0.06,No,No,A,0.062334627,#N/A
13.58233463,0.06,No,No,A,0.062334627,#N/A
13.62233463,0.06,No,No,A,0.062334627,#N/A
13.66233463,0.06,No,No,A,0.062334627,#N/A
13.70233463,0.06,No,No,A,0.062334627,#N/A
13.74233463,0.06,No,No,A,0.062334627,#N/A
13.78233463,0.06,No,No,A,0.062334627,#N/A
13.82269612,0.06,No,No,A,0.062696116,#N/A
13.86233463,0.06,No,No,A,0.062334627,#N/A
13.90233463,0.06,No,No,A,0.062334627,#N/A
13.94233463,0.06,No,No,A,0.062334627,#N/A
13.98251623,0.06,No,No,A,0.062516226,#N/A
14.02233463,0.06,No,No,A,0.062334627,#N/A
14.06233463,0.06,No,No,A,0.062334627,#N/A
14.10327805,0.06,No,No,A,0.063278046,#N/A
14.14233463,0.06,No,No,A,0.062334627,#N/A
14.18233463,0.06,No,No,A,0.062334627,#N/A
14.22419921,0.06,No,No,A,0.064199215,#N/A
14.26233463,0.06,No,No,A,0.062334627,#N/A
14.30233463,0.06,No,No,A,0.062334627,#N/A
14.34233463,0.06,No,No,A,0.062334627,#N/A
14.38233463,0.06,No,No,A,0.062334627,#N/A
14.42233463,0.06,No,No,A,0.062334627,#N/A
14.46310707,0.06,No,No,A,0.063107072,#N/A
14.50245786,0.06,No,No,A,0.062457861,#N/A
14.54266177,0.06,No,No,A,0.062661774,#N/A
14.58233463,0.06,No,No,A,0.062334627,#N/A
14.62233463,0.06,No,No,A,0.062334627,#N/A
14.66233463,0.06,No,No,A,0.062334627,#N/A
14.70255272,0.06,No,No,A,0.062552718,#N/A
14.74285171,0.06,No,No,A,0.062851712,#N/A
14.78233463,0.06,No,No,A,0.062334627,#N/A
14.82233463,0.06,No,No,A,0.062334627,#N/A
14.86233463,0.06,No,No,A,0.062334627,#N/A
14.90233463,0.06,No,No,A,0.062334627,#N/A
14.9427364,0.06,No,No,A,0.062736401,#N/A
14.98316819,0.06,No,No,A,0.063168191,#N/A
15.02303135,0.06,No,No,A,0.063031347,#N/A
15.06322814,0.06,No,No,A,0.063228141,#N/A
15.10233463,0.06,No,No,A,0.062334627,#N/A
15.14233463,0.06,No,No,A,0.062334627,#N/A
15.18233463,0.06,No,No,A,0.062334627,#N/A
15.22233463,0.06,No,No,A,0.062334627,#N/A
15.26233463,0.06,No,No,A,0.062334627,#N/A
15.30233463,0.06,No,No,A,0.062334627,#N/A
15.34233463,0.06,No,No,A,0.062334627,#N/A
15.38233463,0.06,No,No,A,0.062334627,#N/A
15.42233463,0.06,No,No,A,0.062334627,#N/A
15.46233463,0.06,No,No,A,0.062334627,#N/A
15.50233463,0.06,No,No,A,0.062334627,#N/A
15.54233463,0.06,No,No,A,0.062334627,#N/A
15.58233463,0.06,No,No,A,0.062334627,#N/A
15.62233463,0.06,No,No,A,0.062334627,#N/A
15.66233463,0.06,No,No,A,0.062334627,#N/A
15.70233463,0.06,No,No,A,0.062334627,#N/A
15.74233463,0.06,No,No,A,0.062334627,#N/A
15.78233463,0.06,No,No,A,0.062334627,#N/A
15.82233463,0.06,No,No,A,0.062334627,#N/A
15.86277954,0.06,No,No,A,0.06277954,#N/A
15.90403948,0.06,No,No,A,0.064039476,#N/A
15.94233463,0.06,No,No,A,0.062334627,#N/A
15.98285533,0.06,No,No,A,0.062855328,#N/A
16.02233463,0.06,No,No,A,0.062334627,#N/A
16.06233463,0.06,No,No,A,0.062334627,#N/A
16.10233463,0.06,No,No,A,0.062334627,#N/A
16.14233463,0.06,No,No,A,0.062334627,#N/A
16.18233463,0.06,No,No,A,0.062334627,#N/A
16.22233463,0.06,No,No,A,0.062334627,#N/A
16.26332777,0.06,No,No,A,0.063327766,#N/A
16.30233463,0.06,No,No,A,0.062334627,#N/A
16.34233463,0.06,No,No,A,0.062334627,#N/A
16.38271288,0.06,No,No,A,0.062712884,#N/A
16.42310292,0.06,No,No,A,0.063102918,#N/A
16.46389765,0.06,No,No,A,0.063897647,#N/A
16.50324774,0.06,No,No,A,0.063247745,#N/A
16.54248568,0.06,No,No,A,0.062485681,#N/A
16.58239138,0.06,No,No,A,0.062391382,#N/A
16.62233463,0.06,No,No,A,0.062334627,#N/A
16.66233463,0.06,No,No,A,0.062334627,#N/A
16.70233463,0.06,No,No,A,0.062334627,#N/A
16.74233463,0.06,No,No,A,0.062334627,#N/A
16.78233463,0.06,No,No,A,0.062334627,#N/A
16.82233463,0.06,No,No,A,0.062334627,#N/A
16.86233463,0.06,No,No,A,0.062334627,#N/A
16.90233463,0.06,No,No,A,0.062334627,#N/A
16.94233463,0.06,No,No,A,0.062334627,#N/A
16.98393948,0.06,No,No,A,0.063939476,#N/A
17.02233463,0.06,No,No,A,0.062334627,#N/A
17.06233463,0.06,No,No,A,0.062334627,#N/A
17.10233463,0.06,No,No,A,0.062334627,#N/A
17.14233463,0.06,No,No,A,0.062334627,#N/A
17.18233463,0.06,No,No,A,0.062334627,#N/A
17.22233463,0.06,No,No,A,0.062334627,#N/A
17.26233463,0.06,No,No,A,0.062334627,#N/A
17.30233463,0.06,No,No,A,0.062334627,#N/A
17.34233463,0.06,No,No,A,0.062334627,#N/A
17.38233463,0.06,No,No,A,0.062334627,#N/A
17.42233463,0.06,No,No,A,0.062334627,#N/A
17.46233463,0.06,No,No,A,0.062334627,#N/A
17.50233463,0.06,No,No,A,0.062334627,#N/A
17.54233463,0.06,No,No,A,0.062334627,#N/A
17.58233463,0.06,No,No,A,0.062334627,#N/A
